power,q,omega,xi
20,0.162470793934101,28.1384065070914,0.999592795616006
30,0.164507551113445,11.733535916705,1
40,0.1691300652678,24.8006778786384,0.99904027633096
50,0.170235092363798,24.3412361778159,0.999261523104213
60,0.172512336442912,21.3810458541314,0.99939425164862
65,0.174027366450085,23.1876675391474,0.999481926410943
70,0.173554186334469,21.9182024917451,0.999422343104686
75,0.173568969634571,22.4651857725054,0.9993117896454
80,0.175157972548257,10.5210061179775,1
90,0.174313980477626,10.1870776902836,1
