Time, Count
0, 0
1, 0
4, 0
6, 0
7, 0
9, 0
10, 0
11, 0
12, 0
15, 1
16, 1
20, 1
22, 1
23, 1
24, 2
25, 2
26, 2
27, 2
29, 3
31, 3
32, 3
33, 3
35, 4
36, 4
37, 4
38, 5
39, 5
41, 5
42, 6
43, 6
44, 6
45, 7
46, 7
48, 7
49, 8
50, 8
51, 8
52, 9
54, 9
55, 9
56, 10
57, 10
58, 11
60, 11
61, 11
64, 13
65, 13
67, 13
68, 14
69, 15
70, 15
71, 15
72, 16
74, 16
75, 17
76, 17
77, 18
78, 18
79, 19
81, 19
82, 20
83, 20
84, 21
85, 21
87, 22
88, 22
89, 23
90, 23
91, 24
95, 25
96, 26
97, 26
99, 27
100, 28
102, 29
103, 29
104, 30
105, 30
106, 31
108, 31
109, 32
110, 32
111, 33
112, 33
113, 34
115, 35
116, 35
118, 36
119, 37
120, 37
121, 38
122, 38
125, 40
126, 40
127, 41
128, 41
130, 42
131, 43
132, 43
133, 44
134, 45
135, 45
137, 46
138, 47
139, 47
140, 48
141, 48
143, 49
144, 50
145, 50
146, 51
147, 52
149, 52
150, 53
151, 53
152, 54
153, 55
155, 55
156, 56
157, 57
158, 57
160, 58
161, 59
162, 59
163, 60
165, 61
166, 61
167, 62
168, 63
169, 63
170, 64
172, 64
173, 65
174, 66
175, 66
176, 67
177, 68
179, 68
180, 69
181, 69
182, 70
183, 71
184, 72
186, 72
187, 73
188, 73
189, 74
190, 75
191, 75
193, 76
194, 77
195, 77
196, 78
197, 79
199, 79
200, 80
201, 81
202, 81
203, 82
204, 83
206, 83
207, 84
208, 85
209, 85
210, 86
211, 87
213, 87
214, 88
215, 89
216, 89
217, 90
219, 91
220, 91
221, 92
222, 93
223, 93
225, 94
226, 95
227, 95
228, 96
229, 97
230, 97
232, 98
233, 99
234, 99
235, 100
236, 101
238, 101
239, 102
240, 103
241, 103
242, 104
243, 105
245, 105
246, 106
247, 107
248, 107
249, 108
251, 109
252, 109
257, 113
259, 113
260, 114
261, 115
262, 115
263, 116
265, 117
266, 117
267, 118
268, 119
269, 120
271, 121
272, 121
273, 122
274, 122
275, 123
277, 124
278, 125
279, 125
280, 126
281, 127
282, 127
284, 128
285, 128
286, 129
287, 130
288, 130
290, 131
291, 132
292, 133
293, 133
294, 134
296, 135
297, 135
298, 136
299, 137
300, 137
301, 138
303, 139
304, 139
305, 140
306, 141
307, 141
309, 142
310, 143
311, 144
312, 144
313, 145
315, 146
316, 146
317, 147
318, 148
319, 148
320, 149
321, 150
323, 150
324, 151
325, 152
326, 152
327, 153
329, 154
330, 154
331, 155
332, 156
333, 156
335, 157
336, 158
337, 158
338, 159
339, 160
340, 160
342, 161
343, 162
344, 163
345, 163
346, 164
348, 165
349, 165
350, 166
351, 167
352, 167
354, 168
355, 169
356, 170
357, 170
358, 171
359, 171
361, 172
362, 173
363, 174
364, 174
365, 175
366, 176
368, 176
369, 177
370, 178
371, 178
372, 179
374, 180
375, 180
376, 181
377, 182
378, 182
379, 183
381, 184
382, 185
383, 185
384, 186
385, 187
387, 187
388, 188
389, 189
390, 189
391, 190
393, 191
394, 191
395, 192
396, 193
397, 193
398, 194
400, 195
401, 196
402, 196
403, 197
404, 198
406, 198
407, 199
408, 200
409, 200
410, 201
411, 202
413, 202
414, 203
415, 204
416, 204
417, 205
419, 206
420, 207
421, 207
422, 208
423, 209
424, 209
426, 210
427, 211
428, 211
429, 212
430, 213
432, 213
433, 214
434, 215
435, 215
436, 216
438, 217
439, 217
440, 218
441, 219
442, 220
443, 220
445, 221
446, 222
447, 222
448, 223
449, 224
451, 224
452, 225
453, 226
454, 227
455, 227
457, 228
458, 229
459, 229
460, 230
461, 231
463, 231
464, 232
465, 233
466, 233
467, 234
469, 235
470, 235
471, 236
472, 237
473, 238
475, 238
476, 239
477, 240
478, 240
479, 241
480, 242
482, 243
483, 243
484, 244
485, 245
486, 245
488, 246
489, 247
490, 247
491, 248
492, 249
494, 249
495, 250
496, 251
497, 251
498, 252
499, 253
501, 253
502, 254
503, 255
504, 255
505, 256
507, 257
508, 257
509, 258
510, 259
511, 260
513, 260
514, 261
515, 262
516, 263
517, 263
519, 264
520, 265
521, 265
522, 266
523, 267
524, 267
