Time, Count
0, 0
1, 0
2, 0
3, 0
4, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 1
13, 1
14, 1
15, 1
16, 1
18, 1
19, 1
20, 2
21, 2
22, 2
23, 2
25, 2
26, 3
27, 3
28, 3
29, 3
30, 4
32, 4
33, 4
34, 4
35, 5
36, 5
37, 5
39, 6
40, 6
41, 6
42, 7
43, 7
44, 8
47, 8
48, 8
49, 9
50, 9
51, 10
52, 10
54, 10
55, 11
56, 12
57, 12
58, 12
59, 13
61, 13
62, 14
63, 14
64, 15
65, 15
66, 16
68, 16
69, 17
70, 18
71, 18
72, 18
74, 19
75, 20
76, 20
77, 21
78, 21
79, 22
80, 22
82, 23
83, 24
84, 24
85, 25
86, 25
87, 26
89, 26
90, 27
91, 28
92, 28
93, 29
94, 30
96, 30
97, 31
98, 31
99, 32
100, 32
102, 33
103, 34
104, 34
105, 35
106, 36
107, 36
108, 37
110, 38
111, 38
112, 39
113, 40
114, 40
115, 41
117, 42
118, 42
119, 43
120, 44
123, 45
125, 47
126, 48
127, 48
128, 49
130, 49
131, 50
132, 51
133, 52
134, 52
135, 53
140, 56
143, 58
145, 58
146, 59
147, 60
148, 60
149, 61
150, 62
151, 62
155, 65
157, 66
158, 67
160, 68
161, 69
162, 69
167, 72
168, 73
169, 74
170, 74
171, 75
172, 76
174, 77
175, 78
176, 78
177, 79
178, 80
179, 80
181, 81
182, 82
183, 83
184, 84
185, 84
188, 86
189, 86
190, 87
191, 88
193, 90
195, 90
196, 91
197, 92
198, 93
199, 93
200, 94
202, 95
207, 99
208, 100
210, 100
211, 101
212, 102
213, 102
214, 103
215, 104
217, 105
218, 106
219, 106
220, 107
221, 108
222, 109
224, 109
225, 110
226, 111
227, 112
228, 112
229, 114
231, 114
232, 115
233, 116
234, 116
237, 119
239, 120
240, 120
241, 121
242, 122
243, 123
245, 124
246, 124
247, 125
248, 126
249, 127
250, 128
252, 128
253, 129
254, 130
255, 131
256, 132
257, 132
259, 133
260, 134
261, 135
262, 135
263, 136
264, 137
266, 138
267, 139
268, 140
269, 140
270, 141
272, 142
273, 143
274, 144
275, 144
276, 145
277, 146
279, 147
280, 148
281, 148
282, 149
283, 150
284, 151
286, 152
287, 152
288, 153
289, 154
290, 155
291, 156
293, 156
295, 158
299, 160
300, 161
301, 162
302, 163
305, 164
307, 166
310, 168
312, 169
313, 170
314, 171
315, 172
316, 173
317, 173
323, 177
324, 178
325, 179
327, 180
328, 180
329, 181
330, 182
331, 183
332, 183
334, 184
335, 185
339, 188
340, 189
342, 190
343, 191
347, 194
349, 195
350, 196
351, 196
352, 197
353, 198
354, 199
356, 199
357, 200
358, 201
359, 202
360, 202
361, 203
363, 204
367, 207
368, 208
371, 210
372, 210
373, 211
374, 212
375, 213
377, 214
378, 215
379, 215
380, 216
381, 217
382, 218
385, 219
386, 220
387, 221
388, 222
389, 222
392, 224
394, 226
395, 226
398, 228
399, 229
400, 230
403, 232
405, 233
406, 234
410, 237
412, 238
413, 239
414, 240
415, 240
416, 241
417, 242
419, 243
420, 243
421, 244
423, 246
425, 247
427, 248
428, 249
429, 250
430, 250
431, 251
432, 252
435, 254
437, 255
441, 258
442, 258
443, 259
444, 260
445, 261
446, 262
449, 264
450, 264
451, 265
456, 268
457, 269
458, 270
459, 270
460, 271
463, 273
465, 274
466, 275
467, 276
471, 278
472, 279
473, 280
474, 281
475, 282
477, 282
478, 283
479, 284
481, 286
482, 287
484, 288
485, 288
486, 289
487, 290
488, 291
489, 292
491, 292
492, 293
493, 294
494, 294
495, 295
496, 296
498, 297
499, 298
500, 298
501, 299
502, 300
504, 301
505, 302
506, 303
507, 303
508, 304
509, 305
511, 306
512, 307
514, 308
515, 309
516, 310
517, 311
519, 312
520, 312
521, 313
522, 314
523, 315
525, 316
526, 316
527, 317
528, 318
529, 319
531, 320
532, 320
533, 321
534, 322
535, 323
536, 324
538, 324
539, 325
540, 326
541, 327
542, 328
544, 328
545, 329
546, 330
547, 331
548, 332
549, 332
551, 333
552, 334
553, 335
554, 336
555, 337
556, 337
558, 338
562, 341
563, 342
564, 342
565, 343
566, 344
567, 345
569, 346
570, 346
571, 347
572, 348
573, 349
575, 350
576, 351
577, 351
582, 355
