Time, Count
1154, 298
1156, 298
1158, 299
1161, 300
1162, 300
1164, 301
1166, 301
1169, 302
1170, 302
1172, 303
1183, 306
1186, 306
1189, 307
1191, 308
1192, 308
1194, 308
1196, 309
1200, 310
1201, 310
1203, 311
1205, 311
1207, 312
1210, 312
1211, 313
1213, 313
1215, 314
1218, 314
1219, 315
1221, 315
1223, 316
1226, 317
1227, 317
1229, 318
1231, 318
1234, 319
1235, 319
1237, 320
1240, 320
1241, 321
1243, 321
1245, 322
1248, 322
1249, 323
1255, 324
1258, 325
1261, 326
1263, 327
1264, 327
1266, 328
1269, 328
1270, 329
1272, 329
1274, 330
1277, 330
1278, 331
1280, 331
1283, 332
1285, 332
1286, 333
1288, 333
1290, 334
1293, 334
1295, 335
1296, 335
1298, 336
1301, 336
1302, 337
1304, 337
1306, 338
1309, 338
1310, 339
1312, 340
1314, 340
1323, 342
1326, 343
1329, 344
1331, 344
1332, 345
1334, 345
1336, 346
1339, 347
1341, 347
1342, 348
1345, 348
1347, 349
1349, 349
1350, 350
1353, 350
1355, 351
1356, 351
1358, 352
1361, 352
1363, 353
1364, 354
1366, 354
1369, 354
1371, 355
1373, 356
1376, 356
1378, 357
1379, 357
1381, 358
1384, 359
1385, 359
1387, 359
1389, 360
1392, 361
1395, 362
1398, 362
1399, 362
1401, 363
1403, 364
1406, 364
1408, 365
1409, 365
1411, 366
1414, 366
1416, 367
1417, 367
1419, 368
1422, 369
1424, 369
1425, 370
1427, 370
1430, 371
1431, 371
1433, 372
1435, 372
1438, 373
1439, 373
1441, 374
1443, 374
1447, 375
1448, 376
1450, 376
1452, 377
1455, 378
1456, 378
1463, 380
1464, 380
1467, 381
1468, 381
1470, 382
1472, 382
1475, 383
1476, 383
1478, 384
1481, 384
1483, 385
1485, 385
1486, 386
1489, 386
1491, 387
1493, 388
1494, 388
1497, 388
1499, 389
1500, 389
1502, 390
1505, 390
1507, 391
1509, 392
1510, 392
1512, 393
1515, 393
1516, 394
1518, 394
1520, 395
1523, 395
1525, 396
1526, 396
1528, 397
1531, 398
1533, 398
1534, 398
1536, 399
1539, 400
1541, 400
1544, 401
1545, 402
1548, 402
1550, 403
1553, 403
1554, 404
1556, 404
1558, 405
1561, 405
1562, 406
1564, 406
1566, 407
1569, 408
1570, 408
1572, 408
1574, 409
1576, 410
1579, 410
1580, 410
1582, 411
1584, 412
1587, 412
1588, 412
1590, 413
1592, 414
1595, 414
1596, 415
1607, 418
1608, 418
1611, 419
1612, 419
1614, 420
1617, 420
1619, 421
1622, 422
1625, 422
1627, 423
1629, 424
1631, 424
1634, 425
1635, 425
1637, 426
1639, 426
1644, 428
1645, 428
1647, 428
1650, 429
1651, 429
1653, 430
1655, 430
1658, 431
1659, 431
1661, 432
1663, 432
1666, 433
1667, 433
1669, 434
1671, 434
1674, 435
1676, 436
1677, 436
1680, 436
1682, 437
1683, 438
1685, 438
1687, 439
1690, 439
1691, 440
1693, 440
1695, 441
1698, 441
1699, 442
1701, 442
1703, 443
1706, 444
1708, 444
1709, 444
1711, 445
1713, 446
1716, 446
1717, 446
1719, 447
1721, 448
1723, 448
1725, 449
1727, 449
1729, 450
1731, 450
1734, 451
1735, 451
1737, 452
1745, 454
1748, 454
1751, 455
1753, 456
1754, 456
1756, 457
1759, 457
1760, 458
1762, 458
1764, 459
1767, 459
1768, 460
1770, 460
1773, 461
1775, 462
1776, 462
1778, 462
1780, 463
1783, 464
1785, 464
1788, 465
1790, 466
1791, 466
1793, 466
1796, 467
1797, 467
1799, 468
1801, 468
1806, 470
1808, 470
1811, 471
1812, 472
1814, 472
1816, 472
1819, 473
1820, 474
1826, 475
1827, 475
1829, 476
1831, 476
1834, 477
1836, 478
1838, 478
1841, 479
1843, 479
1844, 480
1846, 480
1849, 481
1851, 481
1852, 482
1854, 482
1857, 483
1859, 483
1860, 484
1862, 484
1864, 485
1867, 485
1869, 486
1870, 486
1872, 487
1875, 488
1876, 488
1878, 488
1887, 491
1890, 492
1892, 492
1894, 493
1897, 494
1898, 494
1900, 494
1903, 495
1905, 496
1906, 496
1908, 496
1911, 497
1913, 498
1914, 498
1916, 498
1918, 499
1921, 500
1922, 500
1924, 501
1926, 501
1928, 502
1931, 502
1932, 503
1934, 503
1936, 504
1939, 504
1940, 505
1943, 505
1945, 506
1946, 506
1948, 507
1951, 508
1953, 508
1954, 508
1956, 509
1959, 510
1960, 510
1963, 511
1965, 511
1966, 512
1968, 512
1971, 513
1972, 513
1974, 514
1977, 514
1978, 515
1980, 515
1982, 516
1985, 517
1986, 517
1991, 518
1993, 519
1994, 519
1996, 520
1999, 520
2001, 521
2002, 521
2004, 522
2006, 522
2009, 523
2012, 524
2013, 524
2015, 525
2018, 525
2020, 526
2028, 528
2031, 529
2034, 529
2036, 530
2037, 530
2039, 531
2042, 532
2044, 532
2045, 532
2047, 533
2050, 534
2051, 534
2053, 534
2055, 535
2058, 536
2059, 536
2062, 537
2064, 538
2067, 538
2070, 539
2072, 540
2073, 540
2075, 541
2078, 541
2079, 542
2081, 542
2083, 543
2086, 543
2087, 544
2089, 544
2091, 545
2094, 545
2096, 546
2097, 546
2099, 547
2102, 547
2104, 548
2106, 549
2107, 549
2109, 550
2112, 550
2113, 550
2115, 551
2117, 552
2119, 552
2122, 553
2123, 553
2125, 554
2127, 554
2129, 555
2132, 555
2133, 556
2135, 556
2137, 557
2140, 557
2142, 558
2143, 558
2145, 559
2154, 561
2155, 562
2159, 562
2160, 563
2162, 564
2165, 564
2166, 564
2168, 565
2170, 566
2173, 566
2175, 567
2176, 567
2178, 568
2180, 568
2183, 569
2185, 570
2186, 570
2190, 571
2192, 571
2194, 572
2197, 572
2198, 573
2200, 573
2202, 574
2205, 574
2206, 575
2208, 575
2210, 576
2213, 577
2214, 577
2216, 578
2219, 578
2220, 578
2223, 579
2225, 580
2228, 580
2229, 581
2231, 581
2234, 582
2236, 583
2237, 583
2239, 584
2241, 584
2244, 585
2245, 585
2247, 586
2249, 586
2251, 587
2254, 588
2256, 588
2257, 588
2259, 589
2262, 590
2263, 590
2265, 590
2267, 591
2270, 592
2272, 592
2273, 593
2275, 593
2278, 594
2280, 594
2281, 595
2284, 595
2285, 596
2287, 596
2289, 597
2292, 597
2294, 598
2301, 600
2304, 600
2306, 601
2308, 601
2310, 602
2311, 602
2313, 603
2315, 603
2318, 604
2319, 604
2321, 605
2323, 605
2326, 606
2328, 607
2329, 607
2331, 608
2334, 608
2337, 609
2339, 610
2342, 610
2344, 611
2345, 611
2347, 612
